id,id_category,name,id_brand
115,8,Optimum AAA Alkaline Batteries - Pack of 12,33
116,8,Ultra AAAA Batteries - Pack of 2,33
117,8,CEF14 4-Battery Charger with Batteries,33
118,8,AA NiMH Rechargeable Batteries - Pack of 4,33
119,8,LAA2416 AA Alkaline Batteries - Pack of 24,10
120,8,DL123A/CR123A/EL123A Ultra Photo 123A Batteries - Pack of 2,33
121,8,DL2025/CR2025/ECR2025 Lithium Batteries,33
122,11,SHDSW18 5-Port HDMI Switch Box,14
123,11,Premium High Speed HDMI Cable - 1.5 m,35
124,11,47174 SCART to HDMI Converter,37
125,11,Aerial Cable - 1.5 m,18
126,11,HDM 10E/03 High Speed HDMI Cable with Ethernet - 10 m,39
127,11,Premium Series 42202 High Speed HDMI Cable with Ethernet - 3 m,37
128,11,42964 High Speed HDMI Cable with Ethernet - 5 m,37
129,11,High Speed HDMI to Mini HDMI Cable with Ethernet - 1.5 m,37
130,11,SCART to S-VHS & RCA Adapter,18
131,11,43149 Premium Series Male to Female Aerial Cable - 2 m,37
132,11,STC FS15-N Satellite F to IEC Cable - 1.5 m,37
133,11,47050 3.5 mm to RCA Cable - 2 m,37
134,11,200705 High Speed HDMI Cable with Adapters - 1.5 m,18
135,11,Satellite F Plug Cable - 5 m,37
136,11,Aerial Cable - 3 m,37
137,11,High Speed HDMI to Micro HDMI Cable with Ethernet - 2 m,38
138,11,47017 SCART to RCA Cable - 2 m,37
139,11,47048 SCART to S-VHS & RCA Adapter,37
140,11,43062 Aerial Cable - 1.5 m,37
141,11,HDM 20E/03 High Speed HDMI Cable with Ethernet - 20 m,39
142,14,FOREMAN GFGBBQ4B Portable 4 Burner Grill Gas BBQ - Black,41
143,14,FOREMAN GFGBBQ3B Portable 3 Burner Grill Gas BBQ - Black,41
144,14,FOREMAN GFKTBBQ Portable Kettle Charcoal BBQ - Black,41
145,14,FOREMAN GFSBBQ1 Portable Grill Gas BBQ - Black,41
146,14,Ignite Duo XL T978510 Grill Charcoal BBQ - Black,43
147,14,FIR551 Portable Folding Charcoal Grill BBQ - Silver & Black,40
148,14,Stealth 4000 T978502 Portable 4 Burner Grill Gas BBQ - Black,43
149,14,T978507 3 Burner Grill Gas & Charcoal BBQ & Smoker - Black,43
150,14,Stealth 3000 T978501 Portable 3 Burner Grill Gas BBQ - Black,43
151,14,Obelisk T978509 Outdoor Chiminea - Black,43
152,14,T978515 Portable Charcoal Drum BBQ - Silver,43
153,14,FOREMAN GFPTBBQ1401B Portable Kettle Charcoal BBQ - Black,41
154,14,FOREMAN GFKTBBQ1801B Portable Kettle Charcoal BBQ - Black,41
155,14,T978505 Grill Charcoal BBQ & Smoker - Black,43
156,14,WL42009 Patio Heater - Black,42
157,14,Stealth 2000 T978500 Portable 2 Burner Grill Gas BBQ - Black,43
158,14,ORB Pro T978511 Portable Charcoal Grill BBQ - Black,43
159,14,Ignite Solo T978514 Grill Charcoal BBQ - Black,43
160,14,T978516RED Portable Charcoal Grill BBQ - Red,43
161,14,T978512 Portable Kettle Charcoal BBQ - Black,43
162,15,React iPhone 12 & 12 Pro Case - Clear,50
163,15,React iPhone 13 Case - Pink & Clear,50
164,15,Real Pro Super Wide-angle Clip-on Smartphone Lens,44
165,15,Electric Savanna Rhino iPhone X / XS Case - Blue,52
166,15,Stop Ocean Plastic Pollution Manta iPhone 11 Pro Case - Black,52
167,15,Slim Wallet Galaxy S21 Case - Black,48
168,15,Real Pro Telephoto Clip-on Smartphone Lens,44
169,15,Crystal Palace Galaxy S20 Ultra Case - Clear,47
170,15,Otter + Pop Symmetry iPhone 11 Pro Case - Black,50
171,15,Piccadilly D30 iPhone 7 / SE Case - Black,47
172,15,Crystal Palace Galaxy A52 5G Case - Clear,47
173,15,Swappable 800959 PopGrip - Rainbow Gloss,49
174,15,Symmetry+ with Magsafe iPhone 13 Pro Max Case - Blue,50
175,15,iPhone 12 & 12 Pro Case - Clear & Black,46
176,15,Swappable PopTop Loxodonta Africana Phone Grip - Elephant,49
177,15,Electric Savanna Zebra iPhone 6 / 6s / 7 / 8 / SE Case - Red,52
178,15,Essential Line Antibacterial iPhone 11 Pro Case - Clear,18
179,15,Plasma Rugged iPhone 11 Pro Case - Ice,51
180,15,Midnight Shine Gazing Stars iPhone X / XS Case - Black,52
