id_parameter,name,unit
1006,Pairs with Bose Soundbar 500 / Soundbar 700 / Bass Modules,
1007,4K pass-through,
1008,320 W,
1009,Pairs with SL4Y / SL5Y / SL7Y / SK9Y / SK10Y / SL8YG / SL9YG / SL10YG sound bars,
1010,Meridian technology,
1011,WiFi,
1012,110 W Peak / 60 W RMS,
1013,Compatible with Samsung SmartThings,
1014,Wireless subwoofer,
1015,Built-in subwoofer,
1016,Supports High-Resolution Audio,
1017,300 W,
1018,WiFi / Bluetooth,
1019,Works with Amazon Alexa & Google Assistant,
1020,Dolby Atmos:,
1021,Supports High-Resolution Audio with 4K pass-through,
1022,Compatible with Bose Bass Modules / Surround Sound Speakers / Home Speaker,
1023,175 W Peak / 120 W RMS,
1024,50 W Peak / 30 W RMS,
1025,Output power:,
1026,Adaptive / optimized audio,
1027,160 W RMS,
1028,HDMI / Optical,
1029,160 W,
1030,100 W,
1031,DTS Virtual:,
1032,Extraction (kit sold separately),
1033,Max airflow rate:,
1035,Recirculation,
1036,Extraction,
1037,Noise level:,
1038,Recirculation (carbon filter sold separately),
1042,PC protection:,
1043,Automatic Renewal. See product information,
1046,Reservoir capacity:,
1047,6.5 bar pressure,
1048,Ceramic soleplate,
1049,Steam output:,
1050,Temperature control,
1051,8 bar pressure,
1052,Anti-scale,
1053,7.8 bar pressure,
1055,Shot of steam,
1056,5.3 bar pressure,
1057,7.6 bar pressure,
1058,Auto shut-off,
1059,Non-stick soleplate,
1060,Diamond soleplate,
1061,Touchscreen,
1063,Includes 3 dessert tubs & recipe guide,
1064,Makes up to 60 litres,
1066,2 speed settings with pulse function,
1067,7 dessert programs,
1068,Includes blending jug,
1069,Includes 2 blending cups,
1071,Includes blending bowl,
1072,1 speed setting,
1073,Includes CO2 Cylinder,
1074,3 speed settings with pulse function,
1075,Turns tap water into sparkling water in seconds,
1077,Dishwasher-safe,
1081,360-degree rotational base,
1082,Water level indicator,
1085,Variable temperature control,
1086,Anti-limescale filter,
1087,Backlit keys,
1088,Up to 3 years battery life,
1089,Up to 80 hours battery life,
1090,Up to 24 months battery life,
1091,Compatible with Windows 10,
1093,Numeric keypad,
1094,Compatible with Windows 8,
1095,Up to 1 month battery life,
1096,Compact keyboard,
1097,Up to 2 years battery life,
1098,Up to 16 months battery life,
1100,Full-size keyboard,
1101,USB rechargeable,
1102,8 programmable keys,
1103,Fully programmable keys,
1104,Ergonomic design,
1105,Cynosa Lite Gaming Keyboard,
1107,Logitech GL Tactile switches,
1108,OmniPoint switches,
1109,MM300 Gaming Surface,
1110,Anti-ghosting,
1111,Red switches,
1112,HARPOON RGB Pro RGB Optical Gaming Mouse,
1113,MM100 Gaming Surface,
1114,Cherry MX Red switches,
1115,HS50 PRO Stereo Gaming Headset,
1116,Razer Yellow switches,
1117,Roccat Titan Tactile switches,
1118,K60 RGB PRO Gaming Keyboard,
1119,6 programmable buttons,
1120,5 programmable keys,
1121,Razer Green switches,
1122,DeathAdder Essential Gaming Mouse,
1124,Up to 30 hours battery life,
1125,BlackShark V2 X Gaming Headset,
1126,Gigantus V2 Large Gaming Surface,
1128,Up to 40 hours battery life,
1129,Logitech GL switches,
1131,RGB backlit keys,
1132,Romer-G switches,
1133,TTC Red switches,
1134,K55 RGB Gaming Keyboard,
1136,Razer Linear Optical switches,
1137,60% form factor,
1139,Multicolour backlit keys,
1141,12 mm black on white blank tape,
1142,Print using iOS or Android app,
1143,Print resolution:,
1144,Connects to PC,
1145,Prints 4 label sizes,
1146,Prints 5 label sizes,
1147,Compatible with PC / Mac / iOS / Android,
1148,Compatible with Brother P-Touch,
1149,Choose from hundreds of designs on the Brother app,
1150,400 labels,
1151,QWERTY keypad,
1152,Prints pre-sized & continuous labels,
1154,Includes 3 attachments & storage pouch,
1155,Includes 8 attachments & storage pouch,
1156,Suitable for body & bikini,
1157,Suitable for face & body & bikini,
1158,Intense pulsed light,
1159,Water washable,
1161,Includes 10 attachments / Braun FaceSpa / storage pouch,
1163,2 speeds,
1164,Cuts up to 5 sheets,
1165,Includes 75 micron starter cartridge,
1166,Heats up in 1.5 minutes,
1167,Heats up in 4 minutes,
1168,125 microns,
1169,Anti jam,
1170,Gloss texture,
1171,Safe cut blades,
1172,Includes 5 free pouches,
1173,250 microns,
1174,80 microns,
1175,Thickness:,
1176,Heats up in 3 minutes,
1177,Weather sealed,
1178,Ideal for portraiture,
1179,Ideal for macro,
1180,Compatible with Canon EF mount,
1181,Compatible with Canon EF-S mount,
1182,Compatible with Canon RF mount,
1183,Image stabilisation,
1184,Compatible with Canon EF-M mount,
1185,Aperture range:,
1186,Compatible with Nikon DX mount,
1187,Ideal for landscape and architecture,
1188,Compatible with Nikon FX mount,
1189,Compatible with Sony E mount,
1190,Compatible with Fujifilm X mount,
1191,Silent focus,
1192,Ideal for sports & wildlife,
1193,Equivalent to 100 W,
1194,15 bright LED lights,
1195,355 lumens,
1196,Lifespan:,
1197,Infrared sensor,
1198,806 lumens,
1199,1521 lumens,
1200,Equivalent to 50 W,
1201,White light,
1203,Rechargeable battery,
1204,250 lumens,
1205,3000 hours lifetime,
1206,1400 lumens,
1207,Equivalent to 25 W,
1208,Dimmable,
1209,WiFi & Bluetooth connection,
1210,Works with mains power,
1211,Equivalent to 20 W,
1212,Equivalent to 60 W,
1213,App controlled RGB light,
1214,Motion sensor,
1215,Robust & waterproof,
1216,Suitable for outdoor use,
1217,Warm white light,
1218,microSD cards,
1221,10 year guarantee,
1222,SD / MMC cards,
1224,SD adapter included,
1225,No power supply required,
1226,UHS Speed Class 1 ideal for Full HD 1080p recording,
1228,Cleaning brush,
1229,Corded,
1230,Pivoting head,
1231,Includes 9 attachments,
1232,For Philips OneBlade shavers,
1233,1 attachment,
1234,7 attachments,
1235,With trimmer,
1238,Self-sharpening blades,
1239,1 position,
1240,9 positions,
1241,Waterproof,
1242,3 positions,
1243,Includes 2 attachments & storage pouch,
1244,8 positions,
1245,20 positions,
1246,Includes 15 attachments,
1248,13 positions,
1249,Up to 12 days battery life,
1251,Laser mouse,
1252,Scroll wheel,
1253,Connection:,
1254,GM-5005 MARCUS-2 RGB Optical Gaming Mouse,
1255,Ergonomic mouse,
1256,GH-2042 OCELOT Gaming Headset,
1257,Ergonomic keyboard & mouse,
1262,MP-1965 Gaming Surface,
1263,Optical mouse,
1266,GK-1923 GLADIATOR-2 Gaming Keyboard,
1267,Up to 18 months battery life,
1269,Adjustable LED lighting,
1270,Up to 26000 DPI,
1271,9 programmable buttons,
1272,Up to 18000 DPI,
1273,8 programmable buttons,
1274,Up to 150 hours battery life,
1275,18 programmable buttons,
1277,Up to 19000 DPI,
1279,20 programmable buttons,
1280,Up to 70 hours battery life,
1281,Up to 100 hours battery life,
1282,19 programmable buttons,
1283,Up to 25600 DPI,
1284,Designed for right-handed users,
1285,11 programmable buttons,
1286,Up to 20000 DPI,
1287,Programmable LED lighting,
1288,Up to 8500 DPI,
1289,Up to 240 hours battery life,
1290,Up to 25000 DPI,
1291,Water & dust resistant,
1292,Up to 16000 DPI,
1293,5 programmable buttons,
1295,Up to 12000 DPI,
1296,Up to 180 hours battery life,
1297,Up to 48 hours battery life,
1298,15 programmable buttons,
1299,Up to 60 hours battery life,
1308,Turntable diameter:,
1309,19 auto cooking programs,
1310,1 auto cooking program,
1311,35 auto cooking programs,
1312,10 auto cooking programs,
1313,Intelligent weight sensor,
1314,18 auto cooking programs,
1315,Easy-clean enamel interior,
1317,Bread proving function,
1318,Inverter technology,
1319,Intelligent sensor technology,
1320,6 auto cooking programs,
1321,Enamel coating,
1322,Maximum microwave power:,
1323,3 auto cooking programs,
1324,Plate warming function,
1325,Oven temperature:,
1326,Flatbed design means no turntable for more space,
1327,15 auto cooking programs,
1328,8 auto cooking programs,
1329,Hot air frying,
1330,NVIDIA SLI x 2,
1331,AMD CrossFire x 3,
1332,Form factor:,
1333,Memory:,
1334,AMD CrossFire x 4,
1335,Socket:,
1336,AMD CrossFire x 2,
1337,Chipset:,
1338,Graded Hammer Standard Keyboard,
1339,Assorted designs,
1340,Includes guitar / amplifier / case / accessories,
1341,5 drums & 2 cymbals,
1342,Learning function,
1343,High gloss finish,
1344,Smart Pianist app,
1345,USB host port,
1346,22 frets,
1347,255 preset voices,
1348,6 strings,
1349,Includes guitar / case / accessories,
1350,Suitable for beginners,
1351,Alder body & maple neck,
1352,Counterbalanced spring support,
1354,Height adjustable,
1355,6 months free online music lessons with Gigajam,
1356,Gloss finish,
1357,64 notes polyphony & 10 preset voices,
1358,61-note keyboard,
1359,Auto accompaniment,
1360,88-note keyboard,
1361,Compatible with 32 - 42 mm diameter microphones,
1363,Ideal for podcasting,
1364,100 styles,
1366,Recording Function,
1367,C-clamp desk mount,
1368,MIDI connector,
1369,Powered by mains or batteries,
1370,Input / phones / aux-in / USB,
1371,Includes adjustable seat,
1372,88-note weighted keyboard,
1373,10 preset songs,
1374,Rubber feet for added grip,
1375,Training tutorials,
1376,24 preset songs,
1377,PoE port,
1378,Advanced network control,
1379,No configuration needed,
1380,Ideal for homes & small offices,
1381,Ideal for medium offices,
1382,Speed:,
1384,Compatible with MacOS,
1388,Operating system:,
1389,Waterproof & fogproof,
1390,Field of view:,
1391,Coated optics,
1392,Mirror & phase correction prism coating,
1393,Weatherproof,
1394,Porro prism,
1395,8 x magnification,
1396,Multilayer coating,
1397,Magnetic brass buckle,
1398,Roof prism,
1399,Eyepiece magnification:,
1400,Focal length:,
1401,12 x magnification,
1402,24 x magnification,
1403,Eyepiece 2 & 3 magnification:,
1405,Focal ratio:,
1406,Mount:,
1408,10 x magnification,
1409,15 x magnification,
1410,Eyepiece 2 magnification:,
1411,Compatible with most roof prism binoculars,
1413,Auto cleaning,
1414,Assisted cleaning,
1415,88.8 x 59.4 x 54.8 cm (H x W x D),
1416,59.5 x 59.5 x 56.6 cm (H x W x D),
1417,Main oven energy rating:,
1418,72 x 59.5 x 56.7 cm (H x W x D),
1420,Main oven capacity:,
1422,59.5 x 59.4 x 54.8 cm (H x W x D),
1423,Catalytic liners,
1424,Oven type:,
1425,72 x 59.5 x 57.5 cm (H x W x D),
1426,59.5 x 59.5 x 56.8 cm (H x W x D),
1427,88.8 x 59.4 x 56.8 cm (H x W x D),
1429,58.9 x 59.4 x 56.8 cm (H x W x D),
1430,Main oven type:,
1431,59.5 x 59.4 x 56.7 cm (H x W x D),
1432,88.7 x 59.7 x 57.7 cm (H x W x D),
1433,88.7 x 59.7 x 57.5 cm (H x W x D),
1434,59.5 x 59.5 x 57.5 cm (H x W x D),
1435,Compatible with Polaroid Hi-Print 2x3 Printer,
1436,Includes color ribbon and photo paper,
1439,Matt finish,
1440,Sticky-backed paper,
1441,CW-9060048-WW,
1442,RL-KRZ73-01,
1443,306-7ZW1B41-813,
1444,Processor cooling,
1445,CO-9050071-WW,
1446,RGB lighting,
1447,Max airflow:,
1448,CW-9060046-WW,
1449,CO-9050074-WW,
1450,RF-AP120-FP,
1451,HS-01D-BQ,
1452,CW-9060051-WW,
1453,CW-9060043-WW,
1454,Ball bearing,
1455,Max noise level:,
1456,CW-9060050-WW,
1457,CW-9060045-WW,
1458,Magnetic bearing,
1459,Hydraulic bearing,
1460,Fluid dynamic bearing,
1461,CO-9050072-WW,
1462,Includes everything you need for phone & laptop repairs,
1464,Pin connection:,
1466,Choose from hundreds of free games in the Xbox store,
1467,Get exclusive discounts on games and game-add ons,
1468,Add funds to Steam Wallet,
1469,Easy-to-use wizard,
1470,Easily move your programs and files,
1472,With subwoofer for deep bass,
1473,Mute button,
1474,Reliable connection from up to 15 metres (50 feet),
1476,Noise-reducing microphone,
1478,Number of speakers:,
1479,Simple set-up with one-button pairing and auto re-pairing,
1480,Connect to any speaker with a 3.5 mm or RCA connection,
1481,Includes carry case,
1482,Stream music from smartphone or tablet,
1483,Skip-free,
1485,Compatible with MP3 CDs,
1486,12 hours battery life,
1487,Scratch-resistant,
1488,IP67 water resistant,
1489,Built-in speaker provides audible alert,
1490,Includes SIM tray tool,
1491,Attaches the Apple AirTag to your keys,
1492,Blue light protection,
1493,Bubble-free guarantee,
1494,USB 3.0 / Lightning,
1495,Automatic backup for photos,
1496,Fingerprint resistant,
1497,Mobile app available,
1498,For micro & nano SIM cards,
1499,Anti-microbial,
1501,Locate lost items using your iPhone or iPad,
1502,With screen wipe,
1503,Attaches the Apple AirTag to your belongings,
1504,Compatible with MacBook Pro with Retina Display & MacBook Air,
1506,Compatible with most Advent laptops,
1507,Includes 3 laptop connectors,
1508,Includes 1 USB Type-C connector,
1509,USB Type-C port,
1510,Includes 5 laptop connectors,
1511,Compatible with most HP laptops,
1512,Includes 4 laptop connectors,
1513,Compatible with MacBook Pro with Retina Display,
1514,Compatible with most power adapters,
1515,Includes 10 laptop adapter tips,
1517,Compatible with laptops,
1518,Compatible with MacBooks & iPhones with USB Type-C,
1519,Compatible with most Lenovo laptops,
1520,Compatible with most laptop brands,
1521,Compatible with MacBook and MacBook Pro,
1522,Compatible with most Dell laptops,
1523,Compatible with most USB Type-C laptops,
1524,135mm fan,
1525,80 PLUS Gold,
1526,140mm fan,
1527,120mm fan,
1528,SLI & CrossFire compatible,
1529,80 PLUS Bronze,
1530,80 PLUS,
1531,80 PLUS Platinum,
1532,Quickly change attachments,
1533,Includes eccentric and right angle attachment,
1534,Compatible with Gardena Power For All garden tools,
1535,0.8 litre paint container,
1536,Paint application:,
1537,Includes 1 battery pack,
1538,Accuracy:,
1539,Torque limiter,
1541,Power assisted cutting,
1542,Compatible with Power For All batteries,
1544,LED light,
1545,Delivery volume:,
1546,Drill / brush / sand / polish,
1547,Keyless chuck,
1548,Precise results,
1549,65-piece attachment,
1550,Screwdriver & drill,
1551,Cuts wood / metal / plasterboard,
1552,Plunge depth:,
1553,2-speed gearbox,
1554,Micro-USB charging,
1555,Works on multiple surfaces,
1556,1 litre paint container,
1557,Soft start,
1559,Variable speed control,
1560,Slip-resistant handle,
1561,LED indicators,
1562,Includes 10 screwdriver bits,
1563,3-mode operation,
1564,Includes 2 battery packs,
1565,Anti-restart function,
1566,1 Ethernet port,
1567,Up to 1200 Mbps,
1568,WiFi and Ethernet connection from any plug socket,
1569,3 Ethernet ports,
1570,N300,
1571,Plug socket stays usable,
1572,Up to 300 Mbps,
1573,Ethernet connection from any plug socket,
1574,Up to 1300 Mbps,
1575,Up to 600 Mbps,
1576,Dual-band (2.4 GHz + 5 GHz),
1577,2 Ethernet ports,
1578,5 Ethernet ports,
1579,Up to 1000 Mbps,
1580,Single-band (2.4 GHz),
1581,Up to 2400 Mbps,
1582,Up to 500 Mbps,
1583,4 Ethernet ports,
1584,Compatible with Epson Ecotank printers,
1585,Compatible with HP Officejet & Deskjet & Envy printers,
1586,Compatible with Brother MFC printers,
1587,Compatible with HP Deskjet printers,
1588,Compatible with HP Officejet Pro printers,
1589,Compatible with HP DeskJet & ENVY All-in-One printers,
1590,Approximate number of prints:,
1591,Up to 1000 pages,
1592,Compatible with Canon PIXMA MG printers,
1593,Compatible with Canon PIXMA printers,
1594,Compatible with HP Officejet / Officejet Pro printers,
1595,MPN:,
1596,Compatible with HP Deskjet & Officejet & Envy printers,
1597,HP 301 equivalent,
1598,Remanufactured ink,
1599,Compatible with Brother HL & DCP & MFC printers,
1600,Compatible with HP LaserJet Pro M15 & MFP M28 printers,
1601,Up to 1200 pages,
1602,Compatible with Epson XP / WF printers,
1603,Compatible with HP ENVY Photo All-in-One printers,
1604,Ideal for inkjet & laser printers,
1605,Save your notes to cloud services and email,
1607,Whiteness:,
1609,Compatible with Pilot FriXion pens,
1610,A5,
1611,Up to 20 prints per minute,
1612,WiFi / Bluetooth / Apple AirPrint,
1613,Apple AirPrint & Google Cloud Print,
1614,WiFi / Apple AirPrint,
1615,Up to 10 prints per minute,
1616,Automatic double-sided printing,
1617,Automatic document feeder,
1618,Up to 7.5 prints per minute,
1619,9 months of HP Instant Ink with HP+,
1620,Includes 4 months of HP Instant Ink,
1621,Includes enough ink for 14000 black and 5200 colour pages,
1623,Up to 8.8 prints per minute,
1624,WiFi & Canon Easy-WebPrint,
1625,Up to 14.5 ipm,
1626,9600 x 2400 dpi,
1627,Compatible with ReadyPrint ink subscription,
1628,Includes 2 Canon FINE Cartridges,
1629,Get advanced HP Smart App solutions with HP+,
1630,Includes enough ink for 4500 black and 7500 colour pages,
1631,Up to 9.1 prints per minute,
1632,Up to 15 prints per minute,
1633,Up to 18 prints per minute,
1634,Compatible with Amazon Alexa / Google Assistant,
1635,Up to 8.5 prints per minute,
1636,Up to 10.5 prints per minute,
1637,6 months of HP Instant Ink with HP+,
1638,Includes full set of ink,
1639,Octa-core,
1640,Includes CPU cooler,
1641,Turbo Boost:,
1642,12-core,
1643,Turbo Core:,
1644,Frequency:,
1646,16-core,
1647,Cache:,
1648,10-core,
1649,Hexa-core,
1650,Fully customisable,
1651,Controls up to 3 devices,
1652,Controls up to 5 devices,
1653,Pre-programmed for numerous brands,
1654,Replacement remote for all LG TVs,
1655,Ideal TV remote replacement,
1656,Code search function,
1657,Adjustable sound control,
1658,Replacement remote for all Panasonic TVs,
1659,Extra-large buttons,
1660,Works with your Smart TV,
1661,Replacement remote for all Sony TVs,
1662,Simple set-up,
1663,Ultra wide angle operation,
1664,Controls up to 8 devices,
1665,Smart control,
1666,No set up required,
1667,Controls up to 4 devices,
1668,Learning feature,
1669,Controls up to two devices (TV and set-top box),
1670,Replacement remote for all Samsung TVs,
1671,Motion control,
1672,Controls 2 devices,
1673,Controls 1 device,
1674,Controls up to 12 devices,
1675,AC 2900,
1676,Ideal for moderate internet use,
1677,Ideal for low internet use,
1678,AC 1200,
1679,For mobile broadband using 3G or 4G Micro SIM card,
1680,AX 6000,
1681,AC 2800,
1682,AX 11000 WiFi 6,
1683,AC 2400,
1684,AX 1800,
1685,AX 3000 WiFi 6,
1686,For cable or fibre optic broadband,
1687,AC 2100,
1688,AX 5400 WiFi 6,
1689,Ideal for high internet use,
1690,MU-MIMO gives everyone the fastest connection,
1691,Beamforming improves network connectivity,
1692,AC 3100,
1693,Ideal for gaming,
1695,AX 1500 WiFi 6,
1696,For standard internet connections,
1697,N450,
1699,AC 750,
1700,AC 5400,
1701,AC 1350,
1702,Tri-band (2.4 GHz + 5 GHz + 5 GHz),
1703,AC 2300,
1704,Attachment:,
1705,Includes cable,
1706,Mount your device within easy reach,
1707,Micro USB compatible,
1708,One-click docking,
1709,Type:,
1710,Ideal for in-car use,
1711,Compatible with TomTom Sat Navs,
1712,Suction-free placement,
1713,Optical resolution:,
1714,Scanning element:,
1715,Negative film scanning,
1716,Scan speed:,
1717,2-way audio,
1719,2-year battery life,
1720,Viewing angle:,
1721,Works with Amazon Alexa,
1724,Classic & seasonal tones,
1725,Built-in siren,
1726,Works with Samsung SmartThings,
1727,Weather-resistant,
1728,Works with Amazon Alexa / IFTTT,
1729,Easy plug-in installation,
1730,Get notifications if motion is detected when you're away,
1731,Storage:,
1732,Remote viewing from your smartphone,
1733,Colour night vision,
1734,Compatible with Yale Conexis & Keyless Door Locks,
1735,Motion & heat detection,
1736,Open your smart lock without a key,
1737,Viewing range:,
1738,Motion detection,
1739,Includes hub / remote / motion detector / door sensor / range extender,
1740,Receive notifications when movement is detected,
1741,Works with Amazon Alexa / Samsung SmartThings,
1742,Get notifications sent to your smartphone,
1743,Adjustable volume,
1744,Works with Apple HomeKit / Google Assistant / Amazon Alexa / IFTTT,
1745,Night vision,
1746,Monitor your home from your smartphone or tablet,
1747,Works with Amazon Alexa / Samsung SmartThings / IFTTT,
1749,Do not disturb mode,
1750,11 built-in stitch patterns,
1751,21 built-in stitch patterns,
1752,23 built-in stitch patterns,
1753,Suitable for all fabrics,
1754,Automatic needle threader,
1755,8 built-in stitch patterns,
1756,Adjustable stitch length,
1757,Adjustable stitch width,
1758,Drop-in bobbin,
1759,6 built-in stitch patterns,
1760,Four-step buttonhole setting,
1761,Shreds up to 8 sheets at once,
1762,Shreds up to 5 sheets at once,
1763,Shreds up to 45 sheets at once,
1764,Shreds up to 15 sheets at once,
1765,Shreds staples / paper clips / credit cards / CDs,
1766,Compatible with most home shredders,
1767,Shreds up to 6 sheets at once,
1768,Shreds credit cards,
1769,Shreds staples / paper clips,
1770,Shreds up to 225 sheets at once,
1771,Bin capacity:,
1772,Shreds up to 10 sheets at once,
1773,Shreds up to 150 sheets at once,
1774,Maintains shredder blades,
1775,Shreds up to 9 sheets at once,
1776,Shreds staples / paper clips / credit cards,
1777,Shreds staples / credit cards,
1778,Duty cycle:,
1779,Security level:,
1781,3 speeds,
1782,With screen wipe and easy align tray,
1783,Interchangeable band for Apple Watch,
1784,Compatible with Qi enabled devices,
1785,Wireless charging via inductive connector,
1786,Compatible with Apple Watch Series 6 / 5 / 4 / SE,
1788,Charges Qi compatible devices,
1789,Includes Lightning to USB cable,
1790,Magnetic watch alignment,
1791,Charge three devices simultaneously,
1793,Charge your Apple Watch,
1794,Fast wireless charging,
1796,5 attachment heads,
1797,Tracks steps / distance / calories / sleep,
1798,Tracks 11 body composition measurements,
1799,Tracks 12 body composition measurements,
1800,Can be used by up to 8 people,
1801,Nutrition tracking,
1802,Wireless syncing via Bluetooth,
1803,Recognises up to 8 users,
1804,Bluetooth app control,
1805,Measures your temperature in 2 seconds,
1807,Bluetooth connection,
1808,Monitors sleep,
1809,Works with SleepExpert app,
1810,Keeps drinks cold up to 24 hours,
1811,Measures weight / body mass index / body fat,
1812,Volume:,
1813,Measures your blood pressure,
1814,Automatically recognises users,
1815,Comprehensive weight & body mass tracking,
1816,LED display readable at night,
1817,Auto detects up to 16 users,
1818,WiFi & Bluetooth connectivity,
1821,Up to 6 months battery life,
1822,Compatible with Noerden app,
1823,Works with Fitbit app,
1824,Control via the Withings Health Mate app from your smartphone or tablet,
1825,Tracks weight & BMI,
1827,Drinking reminders,
1828,iOS & Android compatible,
1829,Athlete mode,
1830,Battery operated,
1831,Tracks 14 body composition measurements,
1832,Body composition analysis,
1833,Tracks sleep quality / stages / activity / breathing / snoring,
1835,Wi-Fi & Bluetooth,
1836,Tracks your hydration,
1837,Improves strength and tone in abdominal muscles,
1838,Includes extra batteries / charging hub / filters / bag,
1839,Develops STEM skills,
1840,Gimbal,
1841,Follow me feature,
1843,4K Ultra HD recording,
1844,Connects wirelessly to your phone or tablet,
1845,Max. speed:,
1846,Suggested age:,
1847,Gravity or hand powered,
1848,Bluetooth-enabled,
1849,Teaches principles of gravity / mechanics / renewable energy,
1850,20 models / 250 components to assemble,
1851,Includes speaker and 6 cards,
1852,2.7K 1530p recording & streaming,
1853,Return home function,
1854,4K Ultra HD recording & streaming,
1855,Max. flight time:,
1856,Set up product catalogues & track sales,
1857,Includes extra batteries / charging hub / bag,
1858,Includes FPV goggles / controller,
1859,Prints receipts & built-in charging cradle,
1860,10 models / 200 components to assemble,
1862,Smart speaker for kids,
1863,Teaches principles of robotics and programming,
1864,Teaches principles of mechanics & engineering,
1865,Pay a flat rate for every contactless or chip & PIN transaction,
1866,5.1K Ultra HD recording,
1867,Built-in GPS,
1868,5.4K recording & streaming,
1870,WiFi connectivity,
1871,Built-in 3G SIM card,
1873,Accepts Chip & Pin / Contactless / Apple Pay / Google Pay,
1874,Suitable for ages 5+,
1875,Develops STEAM skills,
1876,HD 720p recording & streaming,
1877,Contactless payments via Garmin Pay,
1878,Voice calling / voice commands / smartphone notifications,
1879,Health & fitness tracking with HR / Blood Oxygen / GPS,
1881,Health & fitness tracking with HR / ECG / Blood Oxygen / GPS,
1882,Space Grey & Black (Sports Band),
1883,eSIM lets you stay connected without your smartphone,
1884,Voice commands / smartphone notifications,
1885,Compatible with iOS / Android,
1886,Space Grey & Anthracite / Black (Sports Band),
1887,Health & fitness tracking with heart rate monitor & GPS,
1888,Contactless payments via Apple Pay,
1889,Contactless payments via Fitbit Pay,
1891,Built-in 4G SIM lets you stay connected without your smartphone,
1893,Compatible with iOS,
1894,Midnight (Sports Band),
1895,Compatible with Android,
1896,Compatible with iOS / Android / Windows,
1897,Health / fitness / skin temperature tracking with heart rate monitor & GPS,
1899,Starlight (Sports Band),
1900,Up to 12 hours battery life,
1901,Up to 15 hours battery life,
1902,Up to 6 hours battery life,
1903,Pair up to 2 speakers,
1904,Up to 20 hours battery life,
1905,CD player,
1906,Pair 150+ speakers,
1907,Pair 100+ speakers,
1908,Up to 10 hours battery life,
1910,Bluetooth / NFC,
1911,WiFi / Apple AirPlay,
1912,CD player & FM radio,
1914,Aux-in,
1915,USB / Aux-in / RCA,
1916,Pair up to 100 speakers,
1917,Up to 18 hours battery life,
1918,USB port,
1919,Aux-in / USB,
1920,Up to 24 hours battery life,
1921,USB / Aux-in,
1922,Up to 8 hours battery life,
1923,Wirelessly connect to other Sonos speakers,
1925,FM radio,
1926,Up to 13 hours battery life,
1927,DAB+/DAB / FM radio,
1928,Aux-in / USB with smartphone charging,
1930,USB smartphone charging,
1931,Speakerphone,
1933,Up to 16 hours battery life,
1934,2 accessories included,
1935,5 accessories included,
1936,Steam time:,
1939,Bright studio light that keeps heat low,
1941,15 LCD keys,
1943,32 LCD keys,
1944,Ultra-compact design,
1945,Change settings from your phone,
1946,Built-in livestreaming feature,
1947,Send out tweets while streaming,
1948,Personalise keys with custom icons,
1949,Built-in noise-cancelling microphone,
1951,Compatible with Windows & Mac,
1952,Internal pop filter,
1953,Includes tripod,
1954,Includes shock mount,
1956,Full HD 1920 x 1080p,
1958,Built-in microphone,
1959,Built-in shock mount,
1960,Compatible with PC / PS4 / Xbox One,
1961,Compatible with Windows / Mac / PS4,
1962,Up to 2500 lumens,
1963,Water flow rate:,
1964,6 accessories included,
1965,Dirty water capacity:,
1966,Includes two lances / nozzle / patio cleaner / car wash brush,
1967,Includes cleaning detergent,
1968,Detergent suction hose,
1969,Upholstery wash tool included,
1970,Wet and dry accessory kit included,
1971,Includes microfibre cloth / spray bottle / cleaning concentrate,
1972,Up to 25 minutes battery life,
1974,4 accessories included,
1975,Up to 35 minutes battery life,
1976,Perfect for cleaning windows & tiles,
1977,Includes two lances,
1978,Clean water capacity:,
1979,Heating function,
1980,Integrated detergent tank,
1981,Includes carpet cleaning solution,
1982,Includes two lances & patio cleaner,
1983,Two year manufacturer's guarantee,
1984,Pack of 2,
1985,Chemical starter kit,
1986,Suitable for up to 6 people,
1987,Auto-shut off,
1988,140 jets,
1989,120 jets,
1990,LED lighting system,
1992,Includes pool cover,
1993,Size:,
1994,Suitable for up to 4 people,
1995,180 jets,
1996,Suitable for up to 7 people,
1997,Compatible with any Lay-Z-Spa Pump,
1998,Suitable for up to 5 people,
1999,Includes scrubbing mitt / net / brush,
2001,Defrost function,
2002,Extra-wide slots,
2003,Warming function,
2004,Warming rack,
2005,Reheat function,
2006,Bagel function,
2007,High-lift eject,
2008,9 expansion bays,
2009,8 expansion bays,
2010,Includes case cooling,
2011,Includes LED lighting / window,
2012,Includes RGB lighting / window,
2013,Includes window,
2014,4 expansion bays,
2015,7 expansion bays,
2016,USB Type-C x 1 / USB 3.0 x 4,
2017,USB 3.0 x 2,
2018,Includes LED lighting,
2019,USB 3.0 x 1 / USB 2.0 x 2,
2020,USB Type-C x 1 / USB 3.0 x 2,
2021,USB Type-C x 1 / USB 3.0 x 3,
2022,USB Type-C x 1 / USB 3.2 x 2,
2023,10 expansion bays,
2024,USB 3.0 x 1 / USB 2.0 x 1,
2025,2 expansion bays,
2026,USB Type-C x 1 / USB 3.1 x 1,
2027,UK to US plug adapter,
2028,Compresses soft items for extra luggage space,
2030,Universal worldwide to UK plug adapter,
2031,UK to 2-pin plug adapter,
2032,Compression straps,
2033,Nickel-plated copper plug pins,
2034,USB & USB Type-C port,
2035,2 USB ports,
2036,Compatible with USB devices,
2038,2 USB ports / 2 USB Type-C ports,
2039,Combination lock,
